id,code,name,state_id/id,country_id/id
"paraguay_mun_id_01",1,"ASUNCION (DISTRITO)","dpto_py1","base.py"
"paraguay_mun_id_02",2,"CONCEPCION (MUNICIPIO)","dpto_py2","base.py"
"paraguay_mun_id_03",3,"SAN LAZARO","dpto_py2","base.py"
"paraguay_mun_id_04",4,"SAN CARLOS","dpto_py2","base.py"
"paraguay_mun_id_05",5,"BELEN","dpto_py2","base.py"
"paraguay_mun_id_06",6,"LORETO","dpto_py2","base.py"
"paraguay_mun_id_07",7,"HORQUETA","dpto_py2","base.py"
"paraguay_mun_id_08",8,"SAN SALVADOR","dpto_py2","base.py"
"paraguay_mun_id_09",9,"YBY YA'U","dpto_py2","base.py"
"paraguay_mun_id_10",267,"SAN CARLOS DEL APA","dpto_py2","base.py"
"paraguay_mun_id_11",270,"SARGENTO JOSE FELIX LOPEZ","dpto_py2","base.py"
"paraguay_mun_id_12",280,"PASO BARRETO (MUNICIPIO)","dpto_py2","base.py"
"paraguay_mun_id_13",281,"SAN ALFREDO (MUNICIPIO)","dpto_py2","base.py"
"paraguay_mun_id_14",282,"AZOTE¿Y (MUNICIPIO)","dpto_py2","base.py"
"paraguay_mun_id_15",286,"ARROYITO","dpto_py2","base.py"
"paraguay_mun_id_16",10,"SAN PEDRO DE YCUAMANDYYU","dpto_py3","base.py"
"paraguay_mun_id_17",11,"ANTEQUERA","dpto_py3","base.py"
"paraguay_mun_id_18",12,"GRAL. E.AQUINO","dpto_py3","base.py"
"paraguay_mun_id_19",13,"ITACURUBI DEL ROSARIO","dpto_py3","base.py"
"paraguay_mun_id_20",14,"SAN ESTANISLAO (SANTANI)","dpto_py3","base.py"
"paraguay_mun_id_21",15,"LIMA","dpto_py3","base.py"
"paraguay_mun_id_22",16,"NUEVA GERMANIA","dpto_py3","base.py"
"paraguay_mun_id_23",17,"TACUATI","dpto_py3","base.py"
"paraguay_mun_id_24",18,"UNION","dpto_py3","base.py"
"paraguay_mun_id_25",19,"25 DE DICIEMBRE","dpto_py3","base.py"
"paraguay_mun_id_26",20,"VILLA DEL ROSARIO","dpto_py3","base.py"
"paraguay_mun_id_27",21,"YATAITY DEL NORTE","dpto_py3","base.py"
"paraguay_mun_id_28",22,"ISIDORO RESQUIN","dpto_py3","base.py"
"paraguay_mun_id_29",23,"CHORE","dpto_py3","base.py"
"paraguay_mun_id_30",24,"SAN PABLO","dpto_py3","base.py"
"paraguay_mun_id_31",25,"SAN JOSE DEL ROSARIO","dpto_py3","base.py"
"paraguay_mun_id_32",220,"GUAYAIBI","dpto_py3","base.py"
"paraguay_mun_id_33",226,"CAPIIBARY","dpto_py3","base.py"
"paraguay_mun_id_34",245,"YRYBUCUA","dpto_py3","base.py"
"paraguay_mun_id_35",263,"SANTA ROSA DEL AGUARAY","dpto_py3","base.py"
"paraguay_mun_id_36",268,"LIBERACIÓN","dpto_py3","base.py"
"paraguay_mun_id_37",285,"SAN VICENTE PANCHOLO","dpto_py3","base.py"
"paraguay_mun_id_38",26,"CAACUPE","dpto_py4","base.py"
"paraguay_mun_id_39",27,"ALTOS","dpto_py4","base.py"
"paraguay_mun_id_40",28,"ARROYOS Y ESTEROS","dpto_py4","base.py"
"paraguay_mun_id_41",29,"ATYRA","dpto_py4","base.py"
"paraguay_mun_id_42",30,"CARAGUATAY","dpto_py4","base.py"
"paraguay_mun_id_43",31,"EMBOSCADA","dpto_py4","base.py"
"paraguay_mun_id_44",32,"EUSEBIO AYALA","dpto_py4","base.py"
"paraguay_mun_id_45",33,"ISLA PUCU","dpto_py4","base.py"
"paraguay_mun_id_46",34,"ITACURUBI DE LA CORDILLERA","dpto_py4","base.py"
"paraguay_mun_id_47",35,"JUAN DE MENA","dpto_py4","base.py"
"paraguay_mun_id_48",36,"NUEVA COLOMBIA","dpto_py4","base.py"
"paraguay_mun_id_49",37,"PIRIBEBUY","dpto_py4","base.py"
"paraguay_mun_id_50",38,"1RO.DE MARZO","dpto_py4","base.py"
"paraguay_mun_id_51",39,"SAN BERNARDINO","dpto_py4","base.py"
"paraguay_mun_id_52",40,"SANTA ELENA","dpto_py4","base.py"
"paraguay_mun_id_53",41,"TOBATI","dpto_py4","base.py"
"paraguay_mun_id_54",42,"VALENZUELA","dpto_py4","base.py"
"paraguay_mun_id_55",43,"LOMA GRANDE","dpto_py4","base.py"
"paraguay_mun_id_56",44,"SAN JOSE OBRERO","dpto_py4","base.py"
"paraguay_mun_id_57",214,"MBOCAYATY DEL YHAGUY","dpto_py4","base.py"
"paraguay_mun_id_58",45,"VILLARRICA","dpto_py5","base.py"
"paraguay_mun_id_59",46,"SAN SALVADOR","dpto_py5","base.py"
"paraguay_mun_id_60",47,"BORJA","dpto_py5","base.py"
"paraguay_mun_id_61",48,"INDEPENDENCIA (R.D.MELGAREJO)","dpto_py5","base.py"
"paraguay_mun_id_62",49,"GRAL.EUGENIO A. GARAY","dpto_py5","base.py"
"paraguay_mun_id_63",50,"CNEL. MARTINEZ","dpto_py5","base.py"
"paraguay_mun_id_64",51,"JOSE FASSARDI","dpto_py5","base.py"
"paraguay_mun_id_65",52,"FELIX PEREZ CARDOZO","dpto_py5","base.py"
"paraguay_mun_id_66",53,"MAURICIO JOSE TROCHE","dpto_py5","base.py"
"paraguay_mun_id_67",54,"ITAPE","dpto_py5","base.py"
