id,code,name,country_id/id
"dpto_py1",1,"CAPITAL","base.py"
"dpto_py2",2,"CONCEPCION","base.py"
"dpto_py3",3,"SAN PEDRO","base.py"
"dpto_py4",4,"CORDILLERA","base.py"
"dpto_py5",5,"GUAIRA","base.py"
"dpto_py6",6,"CAAGUAZU","base.py"
"dpto_py7",7,"CAAZAPA","base.py"
"dpto_py8",8,"ITAPUA","base.py"
"dpto_py9",9,"MISIONES","base.py"
"dpto_py10",10,"PARAGUARI","base.py"
"dpto_py11",11,"ALTO PARANA","base.py"
"dpto_py12",12,"CENTRAL","base.py"
"dpto_py13",13,"NEEMBUCU","base.py"
"dpto_py14",14,"AMAMBAY","base.py"
"dpto_py15",15,"PTE. HAYES","base.py"
"dpto_py16",16,"BOQUERON","base.py"
"dpto_py17",17,"ALTO PARAGUAY","base.py"
"dpto_py18",18,"CANINDEYU","base.py"
