id,sequence,code,name,internal_type,doc_code_prefix,country_id/id,report_name
py_autofactura,20,101,AUTOFACTURA,invoice,AFA,base.py,AUTOFACTURA
py_boleta_trans_pub_pasaj,100,102,BOLETA DE TRANSPORTE PUBLICO DE PASAJEROS,invoice,BTPP,base.py,
py_boleta_venta,110,103,BOLETA DE VENTA,invoice,BV,base.py,
py_boleta_simple,120,104,BOLETA RESIMPLE,invoice,BRS,base.py,
py_boleto_loteria,130,105,"BOLETOS DE LOTERIAS, JUEGOS DE AZAR",invoice,BL,base.py,
py_boleto_aereo,140,106,BOLETO O TIQUET DE TRASNPORTE AEREO,invoice,TQ,base.py,
py_despacho_importacion,150,107,DESPACHO DE IMPORTACION,invoice,DI,base.py,
py_espectaculos_publicos,160,108,ENTRADA A ESPECTACULOS PUBLICOS,invoice,EEP,base.py,
py_factura,10,109,FACTURA,invoice,FA,base.py,FACTURA
py_nota_credito,30,110,NOTA DE CREDITO,credit_note,NC,base.py,NOTA DE CREDITO
py_nota_debito,40,111,NOTA DE DEBITO,debit_note,ND,base.py,NOTA DE DEBITO
py_tiquet,50,112,TIQUET MAQUINA REGISTRADORA,invoice,TMR,base.py,TIQUET
py_egresos_compras_credito,170,201,COMPROBANTE DE EGRESOS POR COMPRAS A CREDITO,,ECC,base.py,
py_del_exterior_legalizado,180,202,COMPROBANTE DEL EXTERIOR LEGALIAZADO,,EL,base.py,
py_ingresos_ventas_credito,190,203,COMPROBANTE DE INGRESO POR VENTAS A CREDITO,,IVC,base.py,
py_ingresos_ent_publicas,200,204,"COMPROBANTE DE INGRESOS ENTIDADES PUBLICAS, RELIGIOSAS O DE BENEFICIO PUBLICO",,IEP,base.py,
py_exracto_cuenta_billetaje,210,205,EXTRACTO DE CUENTA - BILLETAJE ELECTRONICO,,BE,base.py,
py_extracto_cuenta_ips,220,206,EXTRACTO DE CUENTA DE IPS,,IPS,base.py,
py_extracto_cuenta_tctd,230,207,EXTRACTO DE CUENTA TC/TD,,TARJ,base.py,
py_liquidacion_salario,240,208,LIQUIDACION DE SALARIO,,SAL,base.py,
py_otros_egresos,250,209,OTROS COMPROBANTES DE EGRESOS,,OE,base.py,
py_otros_ingresos,260,210,OTROS COMPROBANTES DE INGRESOS,,OI,base.py,
py_boleta_deposito,270,211,TRANSFERENCIAS O GIROS BANCARIOS/BOLETA DE DEPOSITO,,BD,base.py,
